Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2026;07:45:00;01-01-2026;08:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,328;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;07:45:00;01-01-2026;08:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;08:00:00;01-01-2026;08:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,350;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;08:00:00;01-01-2026;08:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;08:15:00;01-01-2026;08:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,281;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;08:15:00;01-01-2026;08:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;08:30:00;01-01-2026;08:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,296;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;08:30:00;01-01-2026;08:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;08:45:00;01-01-2026;09:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,296;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;08:45:00;01-01-2026;09:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;09:00:00;01-01-2026;09:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,363;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;09:00:00;01-01-2026;09:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;09:15:00;01-01-2026;09:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,364;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;09:15:00;01-01-2026;09:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;09:30:00;01-01-2026;09:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,509;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;09:30:00;01-01-2026;09:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;09:45:00;01-01-2026;10:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,576;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;09:45:00;01-01-2026;10:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;10:00:00;01-01-2026;10:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,697;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;10:00:00;01-01-2026;10:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;10:15:00;01-01-2026;10:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Dag;0,531;kWh;Uitgelezen;Hoofdverblijf
