Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);Metertype;Register;Volume;Eenheid;Validatiestatus
05/06/2025;02:30:00;05/06/2025;02:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;02:45:00;05/06/2025;03:00:00;Digitale meter;Afname Nacht;0,036;kWh;Uitgelezen
05/06/2025;02:45:00;05/06/2025;03:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;03:00:00;05/06/2025;03:15:00;Digitale meter;Afname Nacht;0,023;kWh;Uitgelezen
05/06/2025;03:00:00;05/06/2025;03:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;03:15:00;05/06/2025;03:30:00;Digitale meter;Afname Nacht;0,016;kWh;Uitgelezen
05/06/2025;03:15:00;05/06/2025;03:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;03:30:00;05/06/2025;03:45:00;Digitale meter;Afname Nacht;0,031;kWh;Uitgelezen
05/06/2025;03:30:00;05/06/2025;03:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;03:45:00;05/06/2025;04:00:00;Digitale meter;Afname Nacht;0,011;kWh;Uitgelezen
05/06/2025;03:45:00;05/06/2025;04:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;04:00:00;05/06/2025;04:15:00;Digitale meter;Afname Nacht;0,035;kWh;Uitgelezen
05/06/2025;04:00:00;05/06/2025;04:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;04:15:00;05/06/2025;04:30:00;Digitale meter;Afname Nacht;0,024;kWh;Uitgelezen
05/06/2025;04:15:00;05/06/2025;04:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;04:30:00;05/06/2025;04:45:00;Digitale meter;Afname Nacht;0,024;kWh;Uitgelezen
05/06/2025;04:30:00;05/06/2025;04:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;04:45:00;05/06/2025;05:00:00;Digitale meter;Afname Nacht;0,025;kWh;Uitgelezen
05/06/2025;04:45:00;05/06/2025;05:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;05:00:00;05/06/2025;05:15:00;Digitale meter;Afname Nacht;0,01;kWh;Uitgelezen
05/06/2025;05:00:00;05/06/2025;05:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;05:15:00;05/06/2025;05:30:00;Digitale meter;Afname Nacht;0,035;kWh;Uitgelezen
05/06/2025;05:15:00;05/06/2025;05:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;05:30:00;05/06/2025;05:45:00;Digitale meter;Afname Nacht;0,012;kWh;Uitgelezen
05/06/2025;05:30:00;05/06/2025;05:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;05:45:00;05/06/2025;06:00:00;Digitale meter;Afname Nacht;0,039;kWh;Uitgelezen
05/06/2025;05:45:00;05/06/2025;06:00:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;06:00:00;05/06/2025;06:15:00;Digitale meter;Afname Nacht;0,02;kWh;Uitgelezen
05/06/2025;06:00:00;05/06/2025;06:15:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;06:15:00;05/06/2025;06:30:00;Digitale meter;Afname Nacht;0,015;kWh;Uitgelezen
05/06/2025;06:15:00;05/06/2025;06:30:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;06:30:00;05/06/2025;06:45:00;Digitale meter;Afname Nacht;0,022;kWh;Uitgelezen
05/06/2025;06:30:00;05/06/2025;06:45:00;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen
05/06/2025;06:45:00;05/06/2025;07:00:00;Digitale meter;Afname Nacht;0,001;kWh;Uitgelezen
05/06/2025;06:45:00;05/06/2025;07:00:00;Digitale meter;Injectie Nacht;0,009;kWh;Uitgelezen
05/06/2025;07:00:00;05/06/2025;07:15:00;Digitale meter;Afname Dag;0,02;kWh;Uitgelezen
05/06/2025;07:00:00;05/06/2025;07:15:00;Digitale meter;Injectie Dag;0,004;kWh;Uitgelezen
05/06/2025;07:15:00;05/06/2025;07:30:00;Digitale meter;Afname Dag;0,089;kWh;Uitgelezen
05/06/2025;07:15:00;05/06/2025;07:30:00;Digitale meter;Injectie Dag;0,012;kWh;Uitgelezen
05/06/2025;07:30:00;05/06/2025;07:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;07:30:00;05/06/2025;07:45:00;Digitale meter;Injectie Dag;0,026;kWh;Uitgelezen
05/06/2025;07:45:00;05/06/2025;08:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;07:45:00;05/06/2025;08:00:00;Digitale meter;Injectie Dag;0,053;kWh;Uitgelezen
05/06/2025;08:00:00;05/06/2025;08:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;08:00:00;05/06/2025;08:15:00;Digitale meter;Injectie Dag;0,056;kWh;Uitgelezen
05/06/2025;08:15:00;05/06/2025;08:30:00;Digitale meter;Afname Dag;0,013;kWh;Uitgelezen
05/06/2025;08:15:00;05/06/2025;08:30:00;Digitale meter;Injectie Dag;0,029;kWh;Uitgelezen
05/06/2025;08:30:00;05/06/2025;08:45:00;Digitale meter;Afname Dag;0,022;kWh;Uitgelezen
05/06/2025;08:30:00;05/06/2025;08:45:00;Digitale meter;Injectie Dag;0,033;kWh;Uitgelezen
05/06/2025;08:45:00;05/06/2025;09:00:00;Digitale meter;Afname Dag;0,001;kWh;Uitgelezen
05/06/2025;08:45:00;05/06/2025;09:00:00;Digitale meter;Injectie Dag;0,057;kWh;Uitgelezen
05/06/2025;09:00:00;05/06/2025;09:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;09:00:00;05/06/2025;09:15:00;Digitale meter;Injectie Dag;0,127;kWh;Uitgelezen
05/06/2025;09:15:00;05/06/2025;09:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;09:15:00;05/06/2025;09:30:00;Digitale meter;Injectie Dag;0,127;kWh;Uitgelezen
05/06/2025;09:30:00;05/06/2025;09:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;09:30:00;05/06/2025;09:45:00;Digitale meter;Injectie Dag;0,127;kWh;Uitgelezen
05/06/2025;09:45:00;05/06/2025;10:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;09:45:00;05/06/2025;10:00:00;Digitale meter;Injectie Dag;0,186;kWh;Uitgelezen
05/06/2025;10:00:00;05/06/2025;10:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;10:00:00;05/06/2025;10:15:00;Digitale meter;Injectie Dag;0,171;kWh;Uitgelezen
05/06/2025;10:15:00;05/06/2025;10:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;10:15:00;05/06/2025;10:30:00;Digitale meter;Injectie Dag;0,156;kWh;Uitgelezen
05/06/2025;10:30:00;05/06/2025;10:45:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;10:30:00;05/06/2025;10:45:00;Digitale meter;Injectie Dag;0,101;kWh;Uitgelezen
05/06/2025;10:45:00;05/06/2025;11:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;10:45:00;05/06/2025;11:00:00;Digitale meter;Injectie Dag;0,082;kWh;Uitgelezen
05/06/2025;11:00:00;05/06/2025;11:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
05/06/2025;11:00:00;05/06/2025;11:15:00;Digitale meter;Injectie Dag;0,033;kWh;Uitgelezen
